views,likes,dislikes,comment_count
1803724,57470,5261,7483
1496471,43974,2045,9442
788000,10315,160,1288
260982,474,26,85
1088036,51347,256,2707
1177957,185759,1370,9801
748481,20756,3054,5762
1559003,29898,884,1838
520049,28187,452,1607
612112,44648,787,4014
381026,2267,171,1021
313325,8762,116,3110
1621002,49600,2917,2645
387902,24443,414,1346
193382,1908,181,1199
808317,49439,254,54943
964813,17124,1083,2662
552895,32570,586,819
5386,7,2,1
3715529,86803,2264,11409
714815,37261,772,3673
155875,1660,47,141
821704,29004,1017,1526
611039,25022,291,1168
240897,13088,194,1644
1610930,85208,916,5001
640625,3186,442,1641
558307,44085,519,1951
332798,2175,298,287
4576001,172379,6952,9440
1251180,32186,455,4166
11914,31,19,13
957709,5618,1129,2809
177233,736,120,130
2401239,61196,4911,3110
2325233,91111,7543,21450
941274,45924,1259,1678
126547,4214,608,1476
161482,936,97,348
5168203,51975,5286,2538
291634,1531,295,185
539148,8033,432,3491
124458,11571,354,2587
145723,74,29,121
564551,3241,1123,845
158478,2165,153,350
345227,35222,104,3517
1146278,23315,1253,1058
144217,9856,68,1104
254436,4331,96,446
72049,721,43,176
534571,12633,597,1828
332343,8534,162,628
227565,16484,725,1912
149076,8060,87,1317
1267473,111445,1663,5994
864235,51588,327,10258
411960,20809,448,7978
1489178,113033,1908,2853
939129,64757,647,1413
153736,1387,18,516
627820,25647,982,7047
2584165,147110,2305,19313
1279800,75010,1266,11658
623803,17286,511,6126
367032,18645,114,1429
35112,597,29,132
139558,2405,26,315
2510664,0,0,1641
68011,457,38,285
65122,287,45,32
103858,3639,35,391
12940,440,0,12
171236,3123,420,1928
52205,164,27,93
21839,28,18,27
338908,25407,228,3184
22702386,869304,50018,123235
18764,79,278,65
262736,10637,182,867
1825705,77531,4156,12025
418661,8631,493,1912
202125,6055,50,719
7742,761,9,269
7966,410,14,33
700691,3262,510,1065
128390,10890,83,2480
333097,11690,733,1947
45546,143,36,92
3663,2,0,2
1037561,716,117,223
535562,5306,526,3960
67136,648,22,191
79058,1366,121,1001
936130,21642,1202,2877
574778,7517,154,515
284546,9974,134,4362
212206,22470,160,1661
154151,576,152,27
231961,5803,95,687
121133,809,131,50
144146,1002,83,67
1300267,13055,871,1811
248362,6887,142,572
122087,1261,150,476
228385,674,56,195
73231,48,8,43
194796,11151,188,965
1119857,10926,1468,4911
2333278,11373,1206,3697
1423971,83358,597,3733
551409,3243,169,807
59846,517,9,327
587752,11891,1777,6920
46381,212,28,47
1099126,58223,2511,4763
110153,4929,86,610
63079,727,62,465
655758,10357,275,1383
443751,5302,10271,6416
7494,136,0,44
195715,7670,231,2470
316645,6637,588,3155
285091,15716,164,846
3594708,202546,10683,11064
207430,13372,158,683
296324,1962,216,390
1283032,37562,855,5132
435391,24586,303,9363
175637,6432,82,490
1502902,11298,920,1155
1327882,4321,573,1487
294701,12200,122,420
314071,4216,284,1778
467088,9228,220,1234
5085080,311511,4746,34278
40407,0,0,319
177648,6932,786,697
860406,20489,2507,3083
4031523,31751,2880,3530
70493,584,125,111
180487,1242,32,372
163524,8632,115,1273
24236,306,24,86
387955,20680,490,1526
7889,220,0,3
18621,29,15,27
955180,203,27,82
289277,2909,235,1109
2008095,64453,646,6034
196775,5888,77,683
79686,493,74,278
229515,9435,90,759
111484,808,94,613
164870,1693,39,160
298675,7437,429,1379
86493,3422,95,565
1141,0,0,0
90299,1794,12,146
319114,1581,79,58
30590,886,14,58
277600,16620,403,2188
1187,0,0,0
99466,5578,50,618
294237,5750,89,364
574248,38734,1229,3965
1275537,43760,653,3982
61215,2424,26,208
186276,13990,251,367
3090,108,4,42
255034,1427,453,1220
97571,4313,96,1120
17051,36,10,37
206367,7225,33,585
347414,4448,250,3483
267039,3852,70,397
889198,61662,1387,2833
6659676,223822,4515,11792
4722974,119111,3782,6651
1603415,65599,700,12169
3495474,41976,42467,12311
2486210,83813,1273,4472
67330,1155,116,287
1333817,35951,2080,1611
397983,5666,1682,1306
2585193,40778,3499,8834
112990,128,33,432
4281966,46971,2538,3009
2167114,151277,862,8848
337185,37109,358,4784
3018010,207433,4099,19332
333089,6745,198,1282
1380730,41392,1477,6362
1223069,23939,8061,6518
115331,3002,213,184
329318,21146,215,2112
482932,11645,121,255
554732,15248,325,2055
392458,1467,54,743
2935330,281104,2679,16009
2336528,6729,167,1286
791834,10359,228,749
1117510,61075,463,64506
1164713,88543,742,6750
3300683,98182,1914,6794
501670,28310,422,4084
684257,11956,231,576
212803,4134,177,274
505886,23207,5376,7030
1028474,19155,1268,409
304193,567,43,120
2682800,41046,1527,2748
1577533,67286,2451,12571
324544,10121,312,1094
334497,12594,622,588
394281,42935,893,2694
677167,31301,747,1690
323829,4131,262,385
1664684,234160,1845,11647
313793,20657,226,10869
2128788,61484,7801,9079
141104,8572,99,1590
533948,12136,169,3638
212024,1993,62,200
804363,39819,6304,10586
136041,6228,93,815
95700,6608,84,1213
400148,18713,320,2142
1159690,53363,279,2910
575434,29299,514,1749
132315,5623,102,2966
26967,91,98,38
177515,5487,94,1740
243241,11292,111,1637
304673,20116,715,4331
1090890,47482,1043,4421
1292174,54948,1240,1762
235536,2193,226,1306
685641,8969,398,4995
454559,2686,280,1377
986574,36300,789,5398
4373507,94443,2502,12173
137072,1661,12,277
529568,2366,199,1137
736829,18708,794,6460
814832,4141,549,1376
655161,21013,2563,2671
736556,14610,852,708
694996,50171,657,2136
134340,10608,52,879
134235,13802,1114,5453
598162,34920,609,776
717731,27558,893,6070
1532904,47589,3304,3848
772213,10074,598,4195
139552,70,32,88
109878,10381,84,2275
10164,29,3,3
416189,2107,714,219
1276326,70960,811,4293
3483755,789764,2840,72376
7610,13,0,3
1843479,91834,1030,5441
225900,13614,108,1337
1374748,25510,1366,1163
1117997,50950,760,5525
244039,1216,224,424
320851,12241,236,1174
641309,25588,300,1073
111329,4145,96,297
2752866,63989,5262,3048
1942315,136703,2421,7535
1177611,6509,1391,3220
82447,728,30,216
185781,2899,34,420
75479,3242,63,464
178977,14355,87,429
68998,3141,320,1052
68352,1028,58,89
470398,12627,373,2956
41504,36,13,28
276824,1507,309,139
471268,43663,135,4192
132088,7346,328,1260
169967,2164,47,253
1351046,33596,496,4344
406851,23981,1291,2855
677463,6070,626,4555
867802,23523,3440,5936
28513,1224,4,374
704337,28123,724,10377
492183,11490,228,750
135510,5044,159,1154
277980,12183,116,1934
222825,15453,152,3303
46254,546,26,397
67378,1057,90,941
1901318,17182,1184,2133
73765,6929,96,1504
4737269,175762,7017,9557
1693011,84669,810,14183
645577,28017,187,1828
205448,24121,621,2804
998444,47800,1315,1717
180342,573,121,61
1263566,79060,817,1595
122728,9876,63,1747
118097,3774,168,1419
145581,2008,161,311
50490,80,49,15
394069,13889,142,820
2400741,92831,7687,21714
279979,7099,62,787
187691,1136,104,240
188341,760,125,132
1790057,90854,720,3857
377233,2341,339,308
5277237,53089,5521,2524
96846,4679,56,304
160816,11380,1403,3880
80586,1582,1752,3028
28939,229,4,86
463992,25840,509,3708
117628,957,92,284
794338,31491,1406,5616
1595201,117962,2028,2946
324707,1092,96,262
566332,17240,1101,2612
216137,3619,268,135
464981,13585,203,4591
41065,408,43,258
479263,2666,214,300
354088,12929,269,1050
154668,4792,50,467
51461,2299,47,137
358881,12351,201,1755
243083,2666,93,796
107088,1131,87,791
293017,1742,224,638
22279,29,18,27
916731,83323,1052,6884
655537,4842,241,1366
295094,9270,140,645
2656622,149105,2339,19644
95216,11265,108,1225
94640,2024,394,1385
652467,32665,431,13306
8018,403,3,21
52570,3891,40,584
487929,15866,378,3628
40266,2045,72,274
325333,2750,307,383
317426,2784,25,218
60282,768,12,168
305153,28799,243,1969
310494,8566,329,1079
129777,4471,140,372
1884763,135815,3303,12752
206823,13814,127,1699
670446,95714,3103,6802
1762418,12532,1087,1234
39133,613,3,15
478560,9225,539,2096
259007,13453,230,1108
138609,498,80,617
57741,354,48,300
68193,0,0,428
24578152,891283,51978,125444
92629,4689,82,356
546892,5855,152,558
181513,9238,182,1220
217795,2806,91,235
1494393,4701,643,1559
296049,839,234,45
647820,8122,168,530
102299,11331,94,737
8291139,254160,5437,11910
8072982,174945,6413,9529
6451949,150019,2976,26869
3014068,115005,2389,5641
7797259,94548,8233,17122
517275,1912,85,910
521011,13512,151,311
1235481,13805,463,1891
617545,7017,523,611
804878,35094,489,3320
3252728,10779,282,1949
1291361,16081,1368,2877
287346,1178,191,608
781343,76311,743,10482
85684,1481,162,423
3631775,43038,44500,12476
142922,3763,869,178
18558186,1002566,32179,59945
523234,6762,2253,1754
1178020,21696,668,942
625022,35886,345,3322
118429,383,112,143
456491,22922,195,1521
1654828,109422,992,7924
1158594,25081,514,3934
2635714,87053,1330,4600
1406451,37209,2146,1782
182451,158,53,494
2244679,174921,3035,20544
215746,1206,60,618
4716036,395289,3925,19741
54690,979,24,672
2286953,156920,915,8454
563518,50725,601,5980
1816989,47925,1794,6989
295577,6456,193,504
4558472,48624,2673,2558
803802,36813,619,5178
770478,18565,438,2482
111389,1368,39,125
213134,13718,67,1183
366048,14743,1308,1948
646615,68814,1084,5977
1285629,24686,8404,6778
271865,14515,75,1818
561843,29344,383,14205
3158597,19584,995,7573
114688,3761,60,536
1593275,61135,10680,16283
173225,807,31,58
90474,101,22,85
559594,29391,180,2684
341851,5440,271,349
296595,23688,2609,9080
355233,15095,179,1943
544230,17911,483,3045
3121392,210644,4230,18578
1248432,64410,569,66471
823285,89056,1565,7649
370622,22356,846,4902
241436,11523,141,2065
148438,87,25,53
593849,12052,92,1259
1183659,49506,1117,4594
880358,10371,996,2765
61667,44,14,22
1210080,60055,1582,8578
98810,514,71,575
16795,21,1,6
556595,20287,382,2966
4340962,396796,11280,41890
416061,11991,135,2934
213189,11081,163,1812
102540,9066,15,738
582019,17558,1212,933
3447230,100566,1959,6954
413234,2380,696,233
204596,14396,156,1152
32438,116,149,50
215077,8455,68,924
323501,611,47,108
710476,12395,244,589
1069416,19475,1303,441
329733,726,33,159
1323611,4193,445,1667
351347,34911,348,2743
256518,5025,102,1607
324300,15246,611,3894
3058843,44741,1645,2858
156809,3475,140,582
181851,1490,548,1474
759465,33415,816,1735
8703,369,9,32
167696,3569,153,461
292011,13976,1785,1568
53164,3459,24,901
175582,3240,109,865
16708,160,10,31
480203,2843,370,1691
186849,1822,128,147
1905322,253909,2047,12419
189676,2206,183,323
303417,7756,161,2026
878051,57652,948,1167
64563,258,43,201
54458,3586,34,365
1641496,68544,2529,12577
641173,3960,165,1713
194720,19163,204,5104
164269,14815,30,1168
486287,31084,733,430
488546,3239,649,1180
180385,6612,130,3509
420629,1751,384,158
2242229,63341,8314,9293
175969,1683,176,1263
198605,705,123,66
1581664,58138,1355,1839
51541,200,3,8
